N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0          0.000016474724  0.000016474724  1.00       100.00    %
2          MPISG           2     16         1          25         2          0          0.000036144257  0.000016474724  0.46       22.79     %
3          MPISG           2     16         1          25         4          0          0.000087118149  0.000016474724  0.19       4.73      %
4          MPISG           2     16         1          25         8          0          0.000191187859  0.000016474724  0.09       1.08      %
5          MPISG           2     16         1          25         16         0          0.000484800339  0.000016474724  0.03       0.21      %
6          MPISG           2     16         1          25         32         0          0.000441813469  0.000016474724  0.04       0.12      %
7          MPISG           2     16         1          25         64         0          0.000417613983  0.000016474724  0.04       0.06      %
8          MPISG           2     32         1          25         1          0          0.000024604797  0.000024604797  1.00       100.00    %
9          MPISG           2     32         1          25         2          0          0.000049495697  0.000024604797  0.50       24.86     %
10         MPISG           2     32         1          25         4          0          0.000139570236  0.000024604797  0.18       4.41      %
11         MPISG           2     32         1          25         8          0          0.000358176231  0.000024604797  0.07       0.86      %
12         MPISG           2     32         1          25         16         0          0.001076626778  0.000024604797  0.02       0.14      %
13         MPISG           2     32         1          25         32         0          0.000782299042  0.000024604797  0.03       0.10      %
14         MPISG           2     32         1          25         64         0          0.000741481781  0.000024604797  0.03       0.05      %
15         MPISG           2     64         1          25         1          0          0.000071406364  0.000071406364  1.00       100.00    %
16         MPISG           2     64         1          25         2          0          0.000105667114  0.000071406364  0.68       33.79     %
17         MPISG           2     64         1          25         4          0          0.000283193588  0.000071406364  0.25       6.30      %
18         MPISG           2     64         1          25         8          0          0.000841355324  0.000071406364  0.08       1.06      %
19         MPISG           2     64         1          25         16         0          0.003439259529  0.000071406364  0.02       0.13      %
20         MPISG           2     64         1          25         32         0          0.001482439041  0.000071406364  0.05       0.15      %
21         MPISG           2     64         1          25         64         0          0.002911400795  0.000071406364  0.02       0.04      %
22         MPISG           2     128        1          25         1          0          0.000337672234  0.000337672234  1.00       100.00    %
23         MPISG           2     128        1          25         2          0          0.000301480293  0.000337672234  1.12       56.00     %
24         MPISG           2     128        1          25         4          0          0.000712394714  0.000337672234  0.47       11.85     %
25         MPISG           2     128        1          25         8          0          0.001850247383  0.000337672234  0.18       2.28      %
26         MPISG           2     128        1          25         16         0          0.008410596848  0.000337672234  0.04       0.25      %
27         MPISG           2     128        1          25         32         0          0.003092384338  0.000337672234  0.11       0.34      %
28         MPISG           2     128        1          25         64         0          0.005521845818  0.000337672234  0.06       0.10      %
29         MPISG           2     256        1          25         1          0          0.001360988617  0.001360988617  1.00       100.00    %
30         MPISG           2     256        1          25         2          0          0.001104545593  0.001360988617  1.23       61.61     %
31         MPISG           2     256        1          25         4          0          0.001702594757  0.001360988617  0.80       19.98     %
32         MPISG           2     256        1          25         8          0          0.004412555695  0.001360988617  0.31       3.86      %
33         MPISG           2     256        1          25         16         0          0.009843897820  0.001360988617  0.14       0.86      %
34         MPISG           2     256        1          25         32         0          0.005978250504  0.001360988617  0.23       0.71      %
35         MPISG           2     256        1          25         64         0          0.008071780205  0.001360988617  0.17       0.26      %
36         MPISG           2     512        1          25         1          0          0.003912043571  0.003912043571  1.00       100.00    %
37         MPISG           2     512        1          25         2          0          0.002794957161  0.003912043571  1.40       69.98     %
38         MPISG           2     512        1          25         4          0          0.003159213066  0.003912043571  1.24       30.96     %
39         MPISG           2     512        1          25         8          0          0.006841325760  0.003912043571  0.57       7.15      %
